outlier,country,country_code,region,income_group,year,global_index,GOING PLACES,passport_as_man,travel_abroad_as_man,travel_outside_home_as_man,choose_place_to_live_as_man,STARTING A JOB,get_job_as_man,gender_discrimination_law,sexual_harassment_law,penal_civil_pains_sexual_harassment,GETTING PAID,equal_work_remuneration_law,night_hours_as_man,dangerous_arduous_morallyinappropiate_jobs_as_man,same_industries_as_man,GETTING MARRIED,no_law_obedience_to_husband,head_of_household_as_man,domestic_violence_legislation,divorce_judgment_as_man,remarry_as_man,HAVING_CHILDREN,14weeks_paid_leave,govern_paid_ifnot_available,paid_paternity_leave,paid_parental_leave,forbidden_dismiss_pregnant,RUNNING BUSINESS,sign_contract_as_man,register_business_as_man,open_bankaccount_as_man,law_credits_no_gender_discrimination,MANAGING ASSETS,married_couple_same_equal_ownership,sons_daughter_equalfor_inheritance,suviving_spuoses_equal_inheritance,married_couple_equal_administrative_authority,valuation_nonmonetary_contributions,GETTING A PENSION,fullpension_retire_same_ages_as_man,partialpension_retire_same_ages_as_man,mandatory_retirement_age_equal,pension_periods_childcare,is_outlier
NA,NA,AFG,South Asia,Low income,2009,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2010,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2011,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2012,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2013,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2014,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2015,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2016,28.75,25,No,Yes,No,No,25,Yes,No,No,No,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2017,38.13,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,AFG,South Asia,Low income,2018,38.13,50,Yes,Yes,No,No,75,Yes,No,Yes,Yes,0,No,No,No,No,20,No,Yes,No,No,No,20,No,No,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,Yes,No,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2009,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2010,82.5,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2011,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2012,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2013,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2014,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2015,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2016,85.63,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,75,No,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,60,Yes,Yes,No,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2017,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,ALB,Europe & Central Asia,Upper middle income,2018,91.25,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,80,Yes,Yes,Yes,No,Yes,100,Yes,Yes,Yes,Yes,100,Yes,Yes,Yes,Yes,Yes,50,No,No,Yes,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2009,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2010,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2011,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2012,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2013,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2014,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2015,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2016,55,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,40,Yes,Yes,No,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2017,57.5,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,60,Yes,Yes,Yes,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,DZA,Middle East & North Africa,Upper middle income,2018,57.5,75,No,Yes,Yes,Yes,75,Yes,No,Yes,Yes,50,Yes,No,No,Yes,60,Yes,Yes,Yes,No,No,60,Yes,Yes,Yes,No,No,75,Yes,Yes,Yes,No,40,Yes,No,No,Yes,No,25,No,No,No,Yes,NA
NA,NA,AGO,Sub-Saharan Africa,Lower middle income,2009,65,100,Yes,Yes,Yes,Yes,50,Yes,Yes,No,No,50,Yes,Yes,No,No,80,Yes,Yes,No,Yes,Yes,40,No,Yes,No,No,Yes,75,Yes,Yes,Yes,No,100,Yes,Yes,Yes,Yes,Yes,25,No,No,Yes,No,NA
